GENE	GeneLength
GM8778	1107
GM6565	438
GM9531	441
CCR5	2925
GM11065	228
CCDC13	2640
OLFR1082	990
C730034F03RIK	1280
XIRP1	5839
GM5622	1581
SLC35F4	1313
GM13691	2493
TOR1AIP2	2925
ITPRIP	3764
CALHM1	1047
TRIM71	5190
TMPPE	6855
GM15217	733
SLCO1A6	2815
GM6614	2450
GM11077	84
GM8257	1749
GM6490	461
GM5930	1746
GM3676	899
1700049E17RIK1	1757
GM7152	605
GM17165	493
GM4736	1001
HOXD3	3527
TMEM233	2477
2310009B15RIK	571
FBXW28	1678
GM11084	69
CLEC7A	2277
KLRB1-PS1	549
GM2223	1359
KLRB1B	2228
KLRB1	645
4933413G19RIK	1424
GM3222	990
RAB9	1447
TRAPPC2	2366
GM20661	1581
4932414N04RIK	3641
GM15262	380
LEMD1	982
GM11096	45
NAT6	2623
GM14446	2215
GM5097	2222
GM5077	2662
LIPO4	2326
1700013D24RIK	535
MAGEA5	1563
MAGEA8	1646
GM11099	117
CCRL1	2109
METTL4-PS1	1323
GM11100	1951
GM9006	841
GM3839	1002
GBP6	4314
GBP4	4538
GM3558	2055
GM3476	1759
GM8334	1662
GM8279	1760
GM3242	485
GM8271	1469
GM3443	285
GM3298	615
GM3173	519
LUZP4	2025
2610042L04RIK	1885
GM3149	1759
GM2974	1990
GM17170	316
GM15114	1974
GM5796	1991
GM3020	1933
1700110I01RIK	1702
GM5795	1758
GM2897	1980
GM11110	1013
CNTF	1073
GM11111	99
ATG4A	2202
MS4A6C	1844
4930402F06RIK	1372
GM3286	1316
GM3259	2646
ARPC4	2270
GM2382	783
TCEAL7	971
HEATR7B1	7526
GM15023	3698
GM11114	57
NEU2	1824
RPL36A	812
KCNJ13	1270
TMEM179B	848
GM11115	54
GM11116	54
ALPI	2337
ST6GALNAC4	3626
PRICKLE4	2721
B3GNT7	2593
3110007F17RIK	3301
TMPRSS11G	2873
GM16026	2741
GM7609	1538
4933403O08RIK	1520
GM15737	4894
COL4A3	8554
PRDM12	2471
GM14966	649
PIGB	2193
UTP14B	3685
GM7325	852
1700011M02RIK	420
RAB7	2159
SSSCA1	2532
GM9112	420
PIN4	530
NHSL2	12780
PHYHD1	1678
MED12	6940
CD47	1815
C030013D06RIK	1222
H2-T10	3389
GM11127	1344
CML5	983
GM11128	1571
GM13420	608
6530402F18RIK	4301
GM5138	1002
1700101E01RIK	1037
GM11131	3122
H2-Q1	2860
APOO	1218
ZFX	7002
MDGA2	423
CCDC142	3641
4932429P05RIK	3093
GM16309	521
REG3A	837
GM8787	1390
GM14743	759
GM5938	775
GM14744	800
TMSB10	690
GM15402	670
4930468A15RIK	1003
1700021O21RIK	439
GM5936	2857
GM6890	776
GM5640	2861
GM6880	627
C030048H21RIK	666
OBP2B	732
GM11143	195
IGKV12-47	330
IGKV13-87	126
GM11146	96
H2-DMB1	1397
MPP4	2981
KIFC1	2350
AOX3L1	4776
HAUS3	1950
42065	3400
GM684	1263
HOXA3	3095
MAEA	2128
PGLYRP2	2068
GM11149	1250
4930408F14RIK	1015
RBPSUH-RS3	1464
GM14692	782
GM1140	782
GM6760	605
TMEM217	904
GM7073	1374
GM364	2156
TMEM182	1773
C1QTNF5	1349
GM14597	715
GM1975	387
GM4758	291
GM5483	414
CLEC2L	1428
GM17604	75
9230102O04RIK	737
GM13218	265
GM13219	3019
ZBTB9	2798
GM595	2122
STARD6	1496
ANKRD39	1786
SEH1L	3516
HSPA14	4314
CYPT15	519
MUC4	11277
TM4SF19	1257
GM14543	1091
RHOX2H	779
RHOX4G	978
RHOX2G	795
RHOX4F	929
RHOX4D	1808
RHOX4C	1851
RHOX3C	1053
RHOX2C	757
RHOX2B	799
RHOX4A	1869
RPL39	612
GM6268	301
GM1110	2394
GM17193	691
GM2892	711
FAM71F2	1180
PRRT4	3411
GM5168	824
RAB26	1658
TCEB1	954
4930420K17RIK	988
NTN3	4894
1700015F17RIK	1050
GM17396	1655
2610203C22RIK	3475
FDX1L	782
VWDE	3976
ZGLP1	1010
ULBP1	1819
VMN1R-PS150	736
GM14862	870
GM5751	444
VMN2R93	2574
GM6592	507
FPR3	1268
SSXB3	824
SSXB6	421
SSXB8	513
GM14459	540
SSXB1	875
TCTE3	788
9030025P20RIK	1593
GM3417	787
SMOK4A	2317
GM8597	528
MAP3K4	3005
TTLL2	1623
TMEM181B-PS	648
GM2792	1771
3110001I22RIK	1722
GM11172	63
NLRP4G	1941
AC087559.1	1386
GM13308	412
FAM205A	4130
AC125149.2	255
AC175384.1	681
A530040E14RIK	1271
AC145608.1	693
AC168977.1	1910
TMLHE	2251
SPAG11A	436
XLR4A	1162
KLRA4	1245
KLRA1	1667
GM4984	939
OLFR22-PS1	937
GM10698	677
GM11951	431
GM12106	1200
SCGB1B22-PS	280
SCGB1B23-PS	285
GM15846	320
GM16073	517
GM11273	390
RPL28-PS3	414
GM12643	374
GM7146	739
GM14853	549
GM14058	735
GM11970	320
GM11799	460
GM12947	420
GM5566	459
RPS19-PS7	438
GM5915	454
GM15108	803
GM14864	1087
GM14510	1092
RPL12-PS1	625
GM12378	1461
GM11175	543
RPS19-PS3	426
GM11864	1220
GM41	1023
GM15125	800
GM14757	778
GM9427	651
HIST1H2AJ	375
GM15583	3510
METTL21B	2541
GM12838	325
GM12260	411
GM14777	176
GM14385	876
TPM3-RS2	323
GM17235	1114
GM11678	447
GM14448	210
GM14756	240
GM13573	631
GM15526	204
GM11486	478
GM13768	929
GM13343	105
GM14239	685
GM6269	453
GM15487	1117
GM16400	1029
GM15380	783
GM14772	514
BRMS1	1338
GM14806	2110
GM14807	983
GM14350	640
GM14354	875
GM12419	636
NCRNA00085	4074
VMN2R-PS94	1456
GM14644	647
AC107756.1	85
AC140486.1	120
MIR1298	98
AC159266.1	121
AC153902.1	147
AC132367.1	94
AC102463.1	91
AC156572.1	83
AC152946.1	89
AC165441.1	112
AC159639.1	119
AC151974.1	121
SNORD88	91
MIR1247	82
U6ATAC	118
AL772302.1	66
AL805898.1	95
AC136741.1	121
SNORA77	126
SNORA79	143
AC171332.1	121
AC162877.1	121
AC107456.1	127
SNORA42	120
AL845466.1	101
AC102435.1	70
U6ATAC	126
AL732460.1	121
MMU-MIR-1194	121
U6ATAC	116
AC165279.1	90
AC135289.1	90
AC163659.1	96
SNORA76	119
SNORD111	89
AC160992.1	97
AC126690.1	107
AL772216.4	120
MIR1188	120
AC121814.1	126
MIR467H	121
AC084287.1	83
MIR1193	121
AC111115.1	122
U6ATAC	127
AC167245.1	66
AL772258.1	121
AL646096.1	87
AL807401.1	121
U3	222
MIR466K	122
U6ATAC	120
AC125541.1	88
AL929540.1	111
U6ATAC	126
AL672141.1	146
CT010493.1	95
AC134443.1	121
U6ATAC	124
SNORA79	144
MIR1249	98
AC153147.1	96
AC134855.1	98
AC087898.1	79
AC159290.1	121
MIR1306	79
AC155262.1	84
AC192711.1	90
MIR669G	123
SNORA11	127
SNORD75	62
SNORD94	137
AL808131.1	96
MIR1195	98
SNORD98	65
AC024607.1	121
AL670720.1	129
AL772216.5	118
SNORD23	109
U6ATAC	126
AC138200.1	83
AC129021.1	88
SNORD100	74
AL606479.1	115
AL845174.1	95
AC161265.1	119
AC120540.1	90
BX571729.1	82
U6ATAC	120
AL772216.6	121
MIR669D-2	86
AC125040.1	121
AL663067.1	86
AC125028.1	65
AC115802.1	108
AC133514.1	109
AL672234.1	58
U6ATAC	126
SNORD111	76
AC153564.1	95
AC171241.1	66
U6ATAC	126
AC132471.1	78
MIR466J	122
AC160528.1	54
AC141471.1	84
MMU-MIR-1194	121
MIR1191	120
MIR1186	122
SNORA3	122
U6ATAC	126
U6ATAC	94
SNORA50	135
U4ATAC	125
AC127028.1	111
CPEB3_RIBOZYME	78
U6ATAC	130
AL928581.1	74
AC105256.1	93
AC102572.1	93
MIR467G	120
CT010480.1	94
AL772216.7	127
AC133891.1	112
AC157561.1	88
U6ATAC	126
MIR467F	120
MIR466I	121
MIR1190	121
U6ATAC	103
MIR466F-4	121
SNORA11	128
MIR1187	122
AC111132.1	121
AL590988.1	63
MIR669H	125
U6ATAC	126
AC161111.1	116
AL606976.1	93
AL591376.1	97
AC119834.1	114
AL929160.1	90
AC138376.1	91
SNORD23	109
AC158296.1	121
SNORD110	68
AC121604.1	58
AC102689.1	87
SNORD99	74
U3	125
SNORA11	129
AL772216.8	101
AC163659.2	100
MIR1192	121
AL772216.9	108
AL691457.1	144
AC098726.1	89
AC139348.1	106
AC161265.2	123
AC122490.1	82
MIR1198	121
AC131332.1	91
AL772216.10	123
AC103351.1	88
MIR669E	119
MIR1196	119
AC155833.1	93
MIR669I	127
AC132253.2	121
AC101970.1	90
MIR1B	122
AL772167.1	64
U3	193
MIR1199	119
AC123619.1	114
AC122402.1	101
MIR1224	85
AC147251.1	94
U6ATAC	123
AC161513.1	121
AC165239.1	124
AC161049.1	66
AL627312.1	117
SNORD88	93
AL772216.11	122
AL772216.12	90
MIR1197	120
SNORA79	129
GM11621	589
GM5394	975
GM12825	563
VMN1R-PS107	581
GM11333	148
GM15981	464
GM12340	462
GM13183	789
GM6031	1054
GM15439	386
GM12890	373
GM13823	345
CCND3-PS	881
GM14324	3051
GM8107	2009
GM11686	333
HIST3H2BB-PS	465
OLFR1174-PS	939
GM14602	340
GM5406	766
GM13503	446
B230307C23RIK	1298
GM8019	587
GM15532	884
GM16077	750
GM14944	132
DEFA-PS7	174
GM12564	321
GM6121	924
GM15366	4237
C920021L13RIK	1723
GM13616	222
GM8084	752
GM11313	432
RPS2-PS9	817
GM13222	138
GM14867	862
GM12006	403
GM12075	397
GM15617	771
GM6982	1560
MUP-PS22	243
GM13795	295
GM15013	801
GM11398	320
GM14035	1475
GM7150	973
GM12710	216
RPSA-PS12	892
GM14016	486
GM15661	556
GM12134	520
GM15553	430
OLFR634-PS1	955
OLFR1069-PS1	930
GM15613	326
RPL36-PS7	315
GM15062	367
GM12633	1705
GM15029	199
GM5392	789
GM15573	540
GM7571	927
GM11879	702
GM12341	503
GM14606	1155
GM8908	1024
GM13593	692
GM15595	961
GM12219	443
GM11278	997
GM11925	535
GM12543	543
GM12955	957
GM9143	745
GM6368	2147
GM12174	813
GM15365	300
GM7199	1485
GM8731	412
GM11252	939
OLFR388-PS1	941
GM13495	537
GM8250	774
GM13765	228
GM11591	702
GM7841	1629
GM14007	210
GM7638	967
GM11442	458
GM14367	1497
CBX3-PS3	550
VMN1R-PS132	892
GM6783	1437
GM9159	566
GM15760	283
GM5135	573
GM15166	385
GM11582	236
GM13310	1392
GM13804	172
GM12683	415
GM11219	358
GM13005	585
GM13117	691
GM12608	1715
OLFR1273-PS	925
GM11737	468
GM14513	123
GM13526	189
GM14828	1155
GM12314	538
HMGB1-RS18	627
GM12447	470
GM13751	752
GM9434	813
GM2005	542
GM13197	225
GM14694	282
GM11477	314
GM9001	399
GM14892	267
GM12019	532
GM12086	228
GM14669	250
GM8545	801
GM12529	268
M6PR-PS	2622
GM11976	295
GM15216	277
GM12137	346
GM6444	458
GM11625	296
GM11349	1116
GM14880	292
GM15400	607
GM14726	896
GM14107	330
GM9115	1348
GM13379	621
GM4773	702
GM9385	472
GM15702	444
GM12439	365
GM12094	472
GM14918	268
RPL35-PS1	372
GM12859	427
RPL10-PS1	645
GM13815	412
GM11325	469
GM14523	558
GM14787	388
GM13637	342
GM5687	640
GM14079	446
GM15745	115
GM11856	276
GM14111	999
GM12875	344
GM11506	470
RPL30-PS3	348
GM15010	407
GM7332	444
GM14332	899
RPL22-PS1	386
GM15618	452
GM14278	878
GM12674	206
RPL10-PS6	642
GM14847	519
GM14831	409
GM14387	2055
GM7974	408
GM16458	502
OLFR587-PS1	948
GM9266	484
GM15920	402
DEFA-PS15	477
GM11645	649
GM14567	438
GM14500	113
GM14836	471
GM9109	1405
GM11226	738
GM16383	232
GM11966	87
GM13295	256
GM12095	816
4930455H04RIK	1341
GM13044	253
GM14821	435
GM11918	179
GM12269	717
GM12719	241
GM7129	997
GM6446	818
GM12463	849
GM15925	1830
GM12202	811
GM11854	446
RPL38-PS2	298
GM2214	330
GM5400	943
OLFR1078-PS1	632
GM13682	702
GM11430	217
HMGB1-PS6	616
GM12891	240
GM13367	802
GM10224	615
RHOX3G-PS	645
GM12931	324
GOT2-PS1	1408
OLFR337-PS1	453
GM13510	429
GM6062	631
GM9208	948
GM15145	309
GM16056	135
GM14556	899
GM13130	1166
GM12967	289
GM12985	183
GM12779	192
GM14481	629
GM13683	1076
GM7278	1401
GM12208	163
GM5379	826
GM15025	418
GM14919	390
GM14263	746
GM16179	373
GM15739	872
GM11902	270
GM2003	636
OLFR343-PS1	303
GM11798	421
GM11453	1007
IFNA-PS1	555
GM6461	633
GM6263	1342
GM12706	698
GM1862	2156
GM12372	768
GM12173	273
GM16128	626
GM16061	857
GM9009	326
GM11490	272
GM13772	317
GM12297	974
GM13675	529
1700071K01RIK	819
GM12161	361
GM13549	796
GM5419	527
GM14469	202
GM13559	863
OLFR1081-PS1	945
GM12073	524
GM14048	1268
OLFR118	966
PSMB5-PS	798
GM12903	544
GM13464	935
GM15165	502
GM4986	549
GM11885	1428
GM5384	463
GM11336	334
GM11200	448
GM14678	482
GM14240	546
GM14301	324
GM9157	225
GM13198	826
GM12832	315
GM11543	370
GM13314	319
GM14065	585
GM13880	474
GM11913	336
GM15224	388
GM14497	580
GM13714	221
GM13805	104
OLFR1397-PS1	962
GM15000	1243
GM15012	106
GM14509	1286
GM11964	444
GM15936	460
GM15766	813
GM14627	567
GM11943	327
GM11855	1869
OLFR1077-PS1	942
GM15077	362
GM12704	464
GM14797	1480
GM5944	1001
OLFR1300-PS1	934
GM14628	635
GM13929	1125
OLFR626-PS1	285
NLK-PS1	1230
PSMB7-PS2	820
GM11512	663
AU015836	2997
GM12797	273
GM12846	1373
OLFR997-PS1	922
GM11760	796
RPS24-PS3	402
GM12461	1239
GM15427	604
GM6305	1012
MUP-PS17	218
GM12025	144
GM6987	428
GM13998	335
OLFR1017-PS1	687
HIST2H3C2	1018
GM11945	476
GM11318	961
GM14712	772
GM13640	264
GM11825	736
GM6071	440
GM13576	778
GM12817	610
GM12912	1381
GM12804	999
GM13928	1732
GM13181	1069
GM9836	216
GM14977	812
GM13758	743
RPSA-PS4	888
GM13899	1255
GM12568	624
GM13059	398
VMN1R-PS102	886
GM14856	613
GM14937	208
GM6079	404
GM5638	1258
GM13463	233
GM9506	320
RPS15A-PS7	392
GM11679	779
GM14624	192
GM14128	1011
GM12565	649
RPL19-PS11	718
GM14946	204
GM12691	456
GM12135	466
GM12220	172
GM5270	1002
GM14630	246
GM12024	1253
RPS12-PS26	333
GM15989	498
GM14087	140
GM7155	1671
GM12235	170
GM4234	714
GM12745	214
GM5913	1399
GM12140	544
GM7308	447
GM15390	738
GM15913	132
GM13329	265
GM11233	634
GM6758	1055
GM14601	236
GM12458	495
GM12791	655
GM13678	340
GM11469	496
GM14906	390
RPL26-PS5	459
GM15784	1462
GM12677	426
GM13328	1020
GM14605	268
GM8217	465
GM14833	1027
GM13744	850
GM14544	451
GM14913	1093
GM14800	1272
GM12990	468
BC022960	1815
GM12834	2829
GM13333	781
GM11501	581
GM15497	551
GM15823	629
VMN2R-PS2	765
GM14585	634
GM6207	1386
GM6024	1558
GM11891	619
GM12684	999
GM11448	450
GM12430	1322
GM11401	344
DEFA-PS13	204
GM12771	135
GM14425	606
GM13552	417
GM13521	866
GM6023	606
GM14897	207
GM12783	397
OLFR400-PS1	911
DEFA-PS12	420
GM8722	769
GM11783	885
GM12819	629
GM8880	454
GM13730	1462
GM12551	726
GM12922	809
GM7485	1109
GM12849	739
GM13500	824
GM13439	409
GM5793	630
H3F3A-PS2	411
GM12509	609
GM13136	2950
GM7212	348
GM13353	73
GM14935	1708
GM12449	234
GM12685	214
GM4852	729
GM12578	417
3110067C02RIK	2117
GM14621	689
GM12725	1668
GM11271	440
GM8424	988
GM6310	745
GM13858	671
GM15076	474
GM16407	567
GM15615	198
SMT3H2-PS4	288
GM13220	508
GM5940	1815
GM11935	399
GM13775	751
GM11400	1214
GM14890	676
GM12933	872
GM14886	2629
GM6964	437
GM11983	2029
RPL35A-PS2	423
GM11446	866
GM6744	543
GM15268	352
GM4297	2579
BAMBI-PS1	592
GM14542	872
GM14760	1002
GM15173	433
GM12247	670
GM2066	389
CYP2J12	1781
GM8802	740
GM13082	561
GM16089	336
LAMR1-PS1	874
GM9097	880
TCP1-PS1	1466
GM14373	2158
GM12857	592
OLFR1150-PS1	937
GM14788	375
GM13574	394
GM11385	570
GM15836	793
GM11836	447
GM16511	564
GM14737	174
GM15719	635
GM14037	313
GM13529	410
GM6587	579
GM13787	168
GM11517	387
GM15554	555
GM12164	551
GM16032	168
GM8501	432
GM12112	231
GM5380	2136
GM15791	319
GM13607	539
GM14013	270
GM6893	520
GM13149	339
GM15370	253
GM12261	645
GM14859	357
GM14021	961
GM11282	1416
GM15820	691
GM14909	351
GM14659	843
GM11653	1009
GM14883	157
GM13509	1308
GM15896	440
GM15727	438
GM13875	282
GM13132	472
GM15285	473
GM13186	316
VMN1R-PS2	834
GM9516	424
GM6274	797
GM13836	565
VMN1R-PS104	771
GM13673	531
GM12117	952
GM14995	391
OLFR333-PS1	806
GM11386	347
GM14857	3185
GM12520	316
GM14738	2480
GM15018	633
GM11673	331
GM6275	1122
GM12203	598
GM12209	596
GM14622	468
GM13603	83
GM14587	658
GM15951	400
GM12020	2042
GM16011	2662
GM11509	325
GM12879	1182
GM15266	255
GM13627	706
GM14480	433
GM12397	615
GM14054	704
GM12197	447
GM14520	387
GM14213	768
GM14132	1719
OLFR621-PS1	935
GM16205	1027
GM12757	800
RPL36-PS1	303
GM12936	301
GM15034	349
GM15304	2640
RPL7L1-PS1	725
GM14550	407
GM12599	792
GM14417	1074
GM11819	372
OLFR1001-PS1	945
GM12492	564
GM13013	523
GM15151	177
GM12664	913
GM12307	590
VMN1R-PS94	458
GM15786	450
GM15073	634
GM16044	450
GM12275	307
GM14891	596
GM11434	629
GM16071	793
GM14303	266
OLFR1159-PS1	892
GM12030	223
GM14702	446
GM13878	577
GM15041	756
GM5388	1117
GM12389	418
GM13818	515
GM14894	270
GM15264	502
XLR4E-PS	648
GM14746	741
GM15683	353
GM11718	537
GM11813	291
CYP2J7-PS	1515
GM11500	648
GM8595	630
GM15031	210
GM13265	383
GM11896	820
GM9105	1398
GM16171	324
GM16436	1607
GM15011	1480
GM14686	343
GM11694	159
GM12877	510
RPS13-PS4	456
GM14771	203
GM5752	594
RPL18-PS1	525
GM5742	505
GM12752	811
GM15160	907
GM11801	746
GM13368	427
GM14538	1327
GM11765	1205
GM11668	701
GM13215	472
GM14879	507
GM15132	652
GM14815	488
GM7657	666
GM14921	913
GM13680	793
GM14889	228
GM15455	3016
GM14658	197
GM15694	283
GM13142	1453
RPS6-PS4	821
GM14568	294
GM15047	454
GM8215	990
GM6797	512
GM15403	1227
GM14088	269
GM3943	718
GM15176	135
GM14383	386
GM15603	492
GM14830	700
OLFR29-PS1	948
GM13445	307
GM14282	240
GM12882	517
GM14774	536
GM15714	250
GM12382	922
TPT1-PS2	521
GM11603	246
GM15483	456
GM12593	743
SERPINB1-PS1	586
GM14165	952
GM11403	369
GM5912	1438
GM12402	334
GM11254	653
GM7840	533
GM12464	1001
GM6161	1102
GM14682	524
GM3880	380
GM15803	394
RPL23A-PS4	455
GM14068	213
GM13870	1023
GM13086	2037
GM11432	231
GM11700	403
GM12734	948
GM14761	262
GM6767	1381
HMGB1-PS3	636
GM7781	788
GM13488	179
GM14796	1002
GM12952	390
GM13168	632
RPL30-PS11	345
GM15049	463
GM14732	545
GM12884	325
GM14912	1773
GM13337	1594
VMN1R-PS95	903
GM14131	719
GM14735	3088
GM4853	394
GM12855	513
GM14558	381
ITPA-PS1	597
GM7916	456
AA623943	354
GM13608	1406
GM14293	577
GM12445	885
GM13492	665
GM12338	387
GM14452	1632
GM13689	685
GM15368	858
GM14672	447
GM11830	561
GM12778	333
GM9311	1269
GM14130	987
VMN1R-PS108	365
GM13428	365
GM15560	643
OLFR407-PS1	846
GM12517	425
GM15233	400
GM13286	549
GM5646	714
GM11214	1022
GM12508	483
GM8644	596
AMY2-PS1	1117
GM14993	164
GM12654	587
GM12768	759
GM11475	476
GM15821	1210
GM11623	1225
GM14673	903
GM12311	374
GM12470	1049
GM16204	1897
GM12084	611
GM13331	448
GM16200	331
GM13170	643
GM13058	1435
GM11658	1008
GM13325	806
GM7219	297
GM12924	318
GM14884	196
GM12646	238
VMN1R-PS113	1106
GM15781	323
GM15111	878
SLC48A1	2536
GM15453	1130
GM15193	865
GM15235	194
GM13636	401
GM11990	897
GM12538	486
GM13940	301
GM12512	217
GM12733	767
GM13077	484
GM14927	454
GM11553	240
GM11692	902
GM15877	964
GM14654	447
GM12328	197
GM12699	941
GM6427	979
GM15778	608
GM5697	2484
GM12411	483
GM9218	2694
GM12425	363
GM11575	228
GM12635	752
GM13717	365
RPS12-PS5	389
GM13756	222
GM14838	248
GM15032	411
GM12490	560
GM12192	487
GM12125	736
GM14138	745
GM15164	271
GM14429	2024
GM12090	758
GM11279	1256
GM13455	517
GM12611	999
GM11909	759
GM14129	291
GM14312	146
GM14769	432
GM12716	1354
GM12926	409
GM11544	1357
GM14926	508
GM11661	1327
GM14353	869
GM14413	408
GM13440	496
GM11936	160
GM11841	1963
GM15467	445
GM13036	748
GM15968	1168
GM14506	536
GM8312	618
GM14390	1695
GM12286	1002
GM13065	141
GM15369	394
GM14681	411
GM11518	477
GM15953	1732
GM9059	183
GM15294	984
GM16210	610
GM12939	165
GM13733	535
GM13651	1110
XLR5E-PS	711
GM12109	697
GM9436	1855
GM12539	1098
GM14247	237
GM11601	368
5033423K11RIK	627
GM13351	414
GM14633	470
GM12793	292
GM5937	643
GM8809	743
GM6912	544
RPS12-PS7	385
GM14369	372
GM13158	736
GM14804	508
EIF3S6-PS1	470
GM11498	949
GM12005	379
GM11443	479
GM8522	1929
GM13621	345
GM15071	1366
GM15901	854
GM14594	553
GM14973	255
RPLP0-PS1	933
GM9439	971
GM13532	240
GM11605	646
GM15060	948
GM13022	285
GM13423	888
OLFR213	984
GM16181	567
GM15530	555
GM14283	325
GM11354	422
GM5383	617
GM11246	345
GM15466	333
GM12077	364
GM14917	2105
GM11787	1050
GM14450	240
GM14098	623
GM11207	414
GM15544	1531
GM15922	2043
GM11677	977
GM12883	364
GM7869	2577
NPM3-PS1	528
GM15697	2902
GM13167	578
GM13000	496
GM14794	192
GM6184	1261
GM12712	801
GM11643	864
MDK-PS1	321
GM12959	403
GM11874	130
GM14473	557
GM14868	216
FZD10	2988
RPS2-PS13	933
GM12647	265
GM11774	293
GM13996	430
GM12499	546
GM9166	561
GM12317	319
GM11965	277
GM15971	211
GM13297	886
OLFR660-PS1	375
RPSA-PS5	885
GM12717	979
GM14714	439
GM12329	1007
GM15213	216
GM14337	210
GM13890	390
GM6285	498
GM14603	448
GM12582	697
GM7927	880
GM11343	599
GM15022	746
GM11785	601
GM12096	829
GM12170	300
GM12782	727
RPS11-PS3	486
GM14839	714
VMN1R-PS106	824
GM8261	1208
GM13726	794
GM12391	282
GM13882	1002
GM11763	312
GM15931	1852
OLFR129	1146
GM14930	652
HSPA9-PS1	1933
GM13785	690
GM14078	485
GM15495	1312
GM12852	719
GM12740	308
GM14530	333
GM14971	663
OLFR359-PS1	944
HMGB1-PS2	636
MDM4-PS	6514
GM14279	333
GM14106	438
GM9051	1035
GM4911	1023
GM5721	1696
GM15549	622
GM13925	243
RPL7A-PS9	777
GM14870	156
GM12241	726
GM4995	432
GM14251	279
GM14680	1592
GM12574	630
GM12291	311
GM13798	139
GM11460	361
GM6298	976
GM13738	469
GM9435	877
GM14677	486
2210409E12RIK	346
GM12067	1148
GM12755	289
GM12216	1152
RBPSUH-PS1	1006
GM15381	1156
GM13131	321
GM8302	852
GM13866	968
GM12420	1048
GM14159	451
GM6325	3114
GM5126	1308
GM14753	246
GM15152	394
GM15599	775
GM13281	567
GM11897	828
GM13991	648
GM5898	2071
GM11893	491
GM12190	187
ANP32B-PS1	759
5730416F02RIK	812
GM9005	607
GM8662	574
GM8152	637
GM14071	509
GM14200	192
DNMT3L-PS1	1253
GM15282	300
XLR5D-PS	782
GM14335	810
GM14901	283
GM14849	2846
GM15539	566
GM11878	400
GM12713	764
GM4789	1216
GM12806	268
GM14695	282
GM15528	864
GM13590	1588
GM12652	338
GM12722	493
GM12029	832
GM15158	570
GM15626	868
CYP4A28-PS	1477
BC002163	503
GM15103	871
GM11420	402
GM15460	391
GM13475	234
GM7405	1337
GM6897	138
GM13669	457
GM13770	305
GM11790	455
OLFR1192-PS1	930
GM14649	324
GM13038	459
GM13454	483
GM15220	379
GM13444	522
RAP1A-PS2	559
GM7851	323
GM11241	896
PRKACA-PS1	919
GM12142	485
GM14925	438
GM15847	1234
GM15667	782
GM13323	1151
GM12281	298
GM13735	670
GM11447	858
RPL17-PS5	627
GM14580	718
GM13624	462
GM14514	940
OLFR650-PS1	996
GM11533	477
GM14441	540
GM12413	312
GM12780	645
OLFR405-PS1	936
GM15484	828
GM12401	228
GM12039	180
GM15002	452
GM15141	729
GM11488	863
GM15572	593
GM15197	478
GM14983	323
GM15223	826
GM12644	606
GM8858	342
GM13739	530
GM11933	375
GM5385	1559
GM14752	2075
GM14294	751
GM15574	405
GM11821	979
GM13231	2850
GM6175	400
GM12097	1414
GM14045	682
GM13188	564
GM11243	394
GM14660	575
GM8864	1092
GM13273	159
GM14212	826
GM10294	555
GM5389	1176
GM15067	156
GM5754	892
GM13606	949
GM14985	786
GM15357	285
GM11387	772
GM13419	181
GM11370	260
RPL9-PS1	576
GM13731	196
OLFR1147-PS1	937
GM11341	447
GM15986	400
MRPS36-PS2	309
VMN1R-PS127	478
GM11803	444
VMN1R-PS109	725
GM15174	1323
GM12899	551
GM15209	400
GM14613	458
GM12399	447
GM15359	591
GM12858	208
GM14646	132
GM9062	727
GM11191	610
RPL31-PS22	337
GM15536	114
GM15105	204
RPS11-PS2	456
GM12345	898
GM15211	528
GM12331	622
GM14767	586
GM12193	379
GM16186	216
GM11244	237
GM14599	474
GM15039	875
GM15399	677
XLR3E-PS	682
GM11218	1214
GM15149	360
GM9078	617
GM12276	301
GM15121	967
GM11472	556
GM14512	176
OLFR1191-PS1	956
GM14392	401
GM11600	240
GM15352	270
GM12178	330
GM12435	1016
GM13626	402
OLFR999-PS1	931
AK3L2-PS	900
GM11594	162
GM16480	832
MAGEB17-PS	969
OLFR383-PS1	935
GM12773	587
GM11873	1304
GM11620	1845
GM13900	498
GM14017	386
RPL23A-PS2	474
GM16471	618
GM16057	759
GM14115	482
GM16397	494
GM13600	744
GM11960	2858
GM12482	630
GM14823	238
FLG	3164
GM14895	1361
GM8078	650
GM13702	825
GM6168	387
DNAJB3	1017
GNG2-PS1	217
GM14841	758
GM12639	493
GM15746	1027
GM13319	307
GM13859	1423
GM13408	798
GM8475	526
GM14517	337
GM11719	351
GM7153	455
GM11886	303
GM13245	260
GM13461	662
GM12488	499
GM15607	358
GM6568	697
GM13519	272
GM7189	429
GM13649	606
GM15206	454
GM12390	397
GM12954	611
OLFR1171-PS1	842
GM15043	1543
GM5257	790
GM13216	591
GM11371	597
GM13452	1097
PGAM1-PS2	1668
GM11229	437
GM6322	1013
GM15231	447
GM14182	210
GM14991	598
GM12386	688
GM14407	447
GM11794	237
GM14359	424
GM5764	885
GM11416	863
GM1826	1162
H3F3C	411
GM13081	5599
GM8097	829
GM12271	414
MAGEB10-PS	1615
GM14934	621
GM13724	1155
VMN1R-PS116	292
GM12071	469
GM15653	886
GM12046	331
GM15923	1169
GM12848	842
GM14284	279
GM11585	612
GM14464	1254
GM12948	682
GM11481	255
